
"nodeName", "library", "inputType", "completeName", "summary"
"Arc.ByCenterPointRadiusAngle","M:Autodesk","Autodesk.DesignScript.Geometry.Point,System.Double,System.Double,System.Double,Autodesk.DesignScript.Geometry.Vector","M:Autodesk.DesignScript.Geometry.Arc.ByCenterPointRadiusAngle(Autodesk.DesignScript.Geometry.Point,System.Double,System.Double,System.Double,Autodesk.DesignScript.Geometry.Vector)","Create an arc by providing it's center point, radius, angle sweep, and normal vector"
"Arc.ByCenterPointStartPointSweepAngle","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,System.Double,Autodesk.DesignScript.Geometry.Vector","M:Autodesk.DesignScript.Geometry.Arc.ByCenterPointStartPointSweepAngle(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,System.Double,Autodesk.DesignScript.Geometry.Vector)","Create an arc by providing it's center point, start point, sweep point, and normal"
"Arc.ByCenterPointStartPointEndPoint","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point","M:Autodesk.DesignScript.Geometry.Arc.ByCenterPointStartPointEndPoint(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point)","Create an arc by providing it's center point, start point, and end point"
"Arc.ByFillet","M:Autodesk","Autodesk.DesignScript.Geometry.Curve,Autodesk.DesignScript.Geometry.Curve,System.Double","M:Autodesk.DesignScript.Geometry.Arc.ByFillet(Autodesk.DesignScript.Geometry.Curve,Autodesk.DesignScript.Geometry.Curve,System.Double)","Create an arc by filleting two curves with given radius"
"Arc.ByFilletTangentToCurve","M:Autodesk","Autodesk.DesignScript.Geometry.Curve,Autodesk.DesignScript.Geometry.Curve,Autodesk.DesignScript.Geometry.Curve","M:Autodesk.DesignScript.Geometry.Arc.ByFilletTangentToCurve(Autodesk.DesignScript.Geometry.Curve,Autodesk.DesignScript.Geometry.Curve,Autodesk.DesignScript.Geometry.Curve)","Create an arc by filleting two curves tangent to given curve at internal point"
"Arc.ByBestFitThroughPoints","M:Autodesk","System.Collections.Generic.IEnumerable{Autodesk.DesignScript.Geometry.Point}","M:Autodesk.DesignScript.Geometry.Arc.ByBestFitThroughPoints(System.Collections.Generic.IEnumerable{Autodesk.DesignScript.Geometry.Point})","Create an arc that best approximates a collection of points"
"Arc.ByStartEndAndTangencies","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Vector,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Vector","M:Autodesk.DesignScript.Geometry.Arc.ByStartEndAndTangencies(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Vector,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Vector)","Create an arc or tangent bi arc by start and end points and tangencies at start and end"
"Arc.ByStartPointEndPointStartTangent","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Vector","M:Autodesk.DesignScript.Geometry.Arc.ByStartPointEndPointStartTangent(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Vector)","Create an Arc from start Point to end Point with start tangent to Vector"
"Arc.CenterPoint","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Arc.CenterPoint","The center point of the arc"
"Arc.Radius","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Arc.Radius","The radius of the arc"
"Arc.StartAngle","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Arc.StartAngle","The start angle in degrees"
"Arc.SweepAngle","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Arc.SweepAngle","The total sweep angle in degrees"
"BoundingBox.ToString","M:Autodesk","","M:Autodesk.DesignScript.Geometry.BoundingBox.ToString","Get a string representation of the BoundingBox"
"BoundingBox.Equals","M:Autodesk","Autodesk.DesignScript.Geometry.DesignScriptEntity","M:Autodesk.DesignScript.Geometry.BoundingBox.Equals(Autodesk.DesignScript.Geometry.DesignScriptEntity)","Compare two BoundingBox's"
"BoundingBox.ComputeHashCode","M:Autodesk","","M:Autodesk.DesignScript.Geometry.BoundingBox.ComputeHashCode","Get a hashcode for this type"
"BoundingBox.ByGeometry","M:Autodesk","Autodesk.DesignScript.Geometry.Geometry","M:Autodesk.DesignScript.Geometry.BoundingBox.ByGeometry(Autodesk.DesignScript.Geometry.Geometry)","Create an axis-aligned BoundingBox around input Geometry."
"BoundingBox.ByGeometry","M:Autodesk","System.Collections.Generic.IEnumerable{Autodesk.DesignScript.Geometry.Geometry}","M:Autodesk.DesignScript.Geometry.BoundingBox.ByGeometry(System.Collections.Generic.IEnumerable{Autodesk.DesignScript.Geometry.Geometry})","Create an axis-aligned BoundingBox around input Geometries."
"BoundingBox.ByGeometryCoordinateSystem","M:Autodesk","Autodesk.DesignScript.Geometry.Geometry,Autodesk.DesignScript.Geometry.CoordinateSystem","M:Autodesk.DesignScript.Geometry.BoundingBox.ByGeometryCoordinateSystem(Autodesk.DesignScript.Geometry.Geometry,Autodesk.DesignScript.Geometry.CoordinateSystem)","Create a non-axis-aligned BoundingBox around input Geometry, oriented in the X, Y, and Z axis of the CoordinateSystem."
"BoundingBox.ByGeometryCoordinateSystem","M:Autodesk","System.Collections.Generic.IEnumerable{Autodesk.DesignScript.Geometry.Geometry},Autodesk.DesignScript.Geometry.CoordinateSystem","M:Autodesk.DesignScript.Geometry.BoundingBox.ByGeometryCoordinateSystem(System.Collections.Generic.IEnumerable{Autodesk.DesignScript.Geometry.Geometry},Autodesk.DesignScript.Geometry.CoordinateSystem)","Create a non-axis-aligned BoundingBox around input Geometries, oriented in the X, Y, and Z axis of the CoordinateSystem."
"BoundingBox.ByCorners","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point","M:Autodesk.DesignScript.Geometry.BoundingBox.ByCorners(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point)","Creates the an axis-aligned BoundingBox spanning between the minimum Point and the maximum Point."
"BoundingBox.ByCornersCoordinateSystem","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.CoordinateSystem","M:Autodesk.DesignScript.Geometry.BoundingBox.ByCornersCoordinateSystem(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.CoordinateSystem)","Constructs a BoundingBox from minimum coordinates (lower-left-rear corner of the box), to maximum coordinates (upper-right-front corner of the box). CoordinateSystem is the transform FROM the coordinate space of the box TO the model space. This method is designed to match Revit's API, allowing you to extract out the parameters from a Revit BoundingBox without any conversions."
"BoundingBox.MinPoint","P:Autodesk","","P:Autodesk.DesignScript.Geometry.BoundingBox.MinPoint","The minimum point"
"BoundingBox.MaxPoint","P:Autodesk","","P:Autodesk.DesignScript.Geometry.BoundingBox.MaxPoint","The maximum point"
"BoundingBox.ContextCoordinateSystem","P:Autodesk","","P:Autodesk.DesignScript.Geometry.BoundingBox.ContextCoordinateSystem","The CoordinateSystem that this BoundingBox is defined in"
"BoundingBox.Intersection","M:Autodesk","Autodesk.DesignScript.Geometry.BoundingBox","M:Autodesk.DesignScript.Geometry.BoundingBox.Intersection(Autodesk.DesignScript.Geometry.BoundingBox)","Get the intersection of two BoundingBoxes"
"BoundingBox.Intersects","M:Autodesk","Autodesk.DesignScript.Geometry.BoundingBox","M:Autodesk.DesignScript.Geometry.BoundingBox.Intersects(Autodesk.DesignScript.Geometry.BoundingBox)","Determine whether two BoundingBoxes intersect"
"BoundingBox.IsEmpty","M:Autodesk","","M:Autodesk.DesignScript.Geometry.BoundingBox.IsEmpty","Determine if the BoundingBox is empty"
"BoundingBox.Contains","M:Autodesk","Autodesk.DesignScript.Geometry.Point","M:Autodesk.DesignScript.Geometry.BoundingBox.Contains(Autodesk.DesignScript.Geometry.Point)","Determine if a point is inside of the BoundingBox"
"BoundingBox.ToCuboid","M:Autodesk","","M:Autodesk.DesignScript.Geometry.BoundingBox.ToCuboid","Get the BoundingBox as a Solid Cuboid"
"BoundingBox.ToPolySurface","M:Autodesk","","M:Autodesk.DesignScript.Geometry.BoundingBox.ToPolySurface","Get the BoundingBox as a collection of Surfaces"
"Circle.ToString","M:Autodesk","","M:Autodesk.DesignScript.Geometry.Circle.ToString","Get a string representation of the Circle"
"Circle.ByCenterPointRadius","M:Autodesk","Autodesk.DesignScript.Geometry.Point,System.Double","M:Autodesk.DesignScript.Geometry.Circle.ByCenterPointRadius(Autodesk.DesignScript.Geometry.Point,System.Double)","Creates a Circle with input center Point and radius in the world XY plane, with world Z as normal."
"Circle.ByCenterPointRadiusNormal","M:Autodesk","Autodesk.DesignScript.Geometry.Point,System.Double,Autodesk.DesignScript.Geometry.Vector","M:Autodesk.DesignScript.Geometry.Circle.ByCenterPointRadiusNormal(Autodesk.DesignScript.Geometry.Point,System.Double,Autodesk.DesignScript.Geometry.Vector)","Creates a Circle with specified center Point, radius, and normal direction."
"Circle.ByPlaneRadius","M:Autodesk","Autodesk.DesignScript.Geometry.Plane,System.Double","M:Autodesk.DesignScript.Geometry.Circle.ByPlaneRadius(Autodesk.DesignScript.Geometry.Plane,System.Double)","Create a Circle centered at the input Plane origin (root), lying inthe input Plane, with given radius."
"Circle.ByThreePoints","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point","M:Autodesk.DesignScript.Geometry.Circle.ByThreePoints(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point)","Create a Circle passing through three input Points."
"Circle.ByBestFitThroughPoints","M:Autodesk","System.Collections.Generic.IEnumerable{Autodesk.DesignScript.Geometry.Point}","M:Autodesk.DesignScript.Geometry.Circle.ByBestFitThroughPoints(System.Collections.Generic.IEnumerable{Autodesk.DesignScript.Geometry.Point})","Best fit Circle through Points"
"Circle.CenterPoint","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Circle.CenterPoint","The center of the circle"
"Circle.Radius","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Circle.Radius","The radius of the circle"
"CoEdge.ToString","M:Autodesk","","M:Autodesk.DesignScript.Geometry.CoEdge.ToString","Get a string representation of the CoEdge"
"CoEdge.Previous","P:Autodesk","","P:Autodesk.DesignScript.Geometry.CoEdge.Previous","The previous CoEdge in the containing Loop"
"CoEdge.Next","P:Autodesk","","P:Autodesk.DesignScript.Geometry.CoEdge.Next","The next CoEdge in the containing Loop"
"CoEdge.Partner","P:Autodesk","","P:Autodesk.DesignScript.Geometry.CoEdge.Partner","The neighbouring CoEdge in the reverse direction"
"CoEdge.Edge","P:Autodesk","","P:Autodesk.DesignScript.Geometry.CoEdge.Edge","The adjacent Edge associated with the CoEdge"
"CoEdge.Loop","P:Autodesk","","P:Autodesk.DesignScript.Geometry.CoEdge.Loop","The containing Loop to which the CoEdge belongs"
"CoEdge.StartVertex","P:Autodesk","","P:Autodesk.DesignScript.Geometry.CoEdge.StartVertex","The Vertex at which this Edge starts"
"CoEdge.EndVertex","P:Autodesk","","P:Autodesk.DesignScript.Geometry.CoEdge.EndVertex","The Vertex at which this Edge ends"
"CoEdge.Reversed","P:Autodesk","","P:Autodesk.DesignScript.Geometry.CoEdge.Reversed","The sense of the CoEdge with respect to its Edge"
"CoEdge.ParameterCurve","P:Autodesk","","P:Autodesk.DesignScript.Geometry.CoEdge.ParameterCurve","Curve in parametric space of the owner surface. The curve is in 2D form, thus Z coordinates of this curve are 0."
"Cone.ToString","M:Autodesk","","M:Autodesk.DesignScript.Geometry.Cone.ToString","Get a string representation of the Cone"
"Cone.ByPointsRadius","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,System.Double","M:Autodesk.DesignScript.Geometry.Cone.ByPointsRadius(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,System.Double)","Create a Cone with given base radius at start Point, extending to aapex at end Point."
"Cone.ByPointsRadii","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Cone.ByPointsRadii(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point,System.Double,System.Double)","Create a Cone with axis from start Point to end Point, with givenradiuses at start and end. This object does not have an apex, and can be thought of as a trimmed Cone."
"Cone.ByCoordinateSystemHeightRadius","M:Autodesk","Autodesk.DesignScript.Geometry.CoordinateSystem,System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Cone.ByCoordinateSystemHeightRadius(Autodesk.DesignScript.Geometry.CoordinateSystem,System.Double,System.Double)","Creates a Cone with base Point at CoordinateSystem origin, extending in the CoordinateSystem Z axis deriction length amount, with acircular base in the CoordinateSystem XY Plane."
"Cone.ByCoordinateSystemHeightRadii","M:Autodesk","Autodesk.DesignScript.Geometry.CoordinateSystem,System.Double,System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Cone.ByCoordinateSystemHeightRadii(Autodesk.DesignScript.Geometry.CoordinateSystem,System.Double,System.Double,System.Double)","Creates a Cone with base Point at CoordinateSystem origin, extending in the CoordinateSystem Z axis deriction length amount, with acircular bases in the CoordinateSystem XY Plane."
"Cone.StartPoint","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Cone.StartPoint","The start point"
"Cone.EndPoint","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Cone.EndPoint","The end point"
"Cone.RadiusRatio","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Cone.RadiusRatio","Ratio between the top and bottom radius"
"Cone.StartRadius","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Cone.StartRadius","The radius at the base"
"Cone.EndRadius","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Cone.EndRadius","The radius at the bottom"
"Cone.Height","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Cone.Height","The total height"
"Cuboid.ToString","M:Autodesk","","M:Autodesk.DesignScript.Geometry.Cuboid.ToString","Get a string representation of the Cuboid"
"Cuboid.ByLengths","M:Autodesk","System.Double,System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Cuboid.ByLengths(System.Double,System.Double,System.Double)","Create a Cuboid centered at WCS origin, with width, length, and height."
"Cuboid.ByLengths","M:Autodesk","Autodesk.DesignScript.Geometry.Point,System.Double,System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Cuboid.ByLengths(Autodesk.DesignScript.Geometry.Point,System.Double,System.Double,System.Double)","Create a Cuboid centered at input Point, with specified width, length,and height."
"Cuboid.ByLengths","M:Autodesk","Autodesk.DesignScript.Geometry.CoordinateSystem,System.Double,System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Cuboid.ByLengths(Autodesk.DesignScript.Geometry.CoordinateSystem,System.Double,System.Double,System.Double)","Create a Cuboid centered and oriented to input CoordinateSystem, withspecified width, length, and height."
"Cuboid.ByCorners","M:Autodesk","Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point","M:Autodesk.DesignScript.Geometry.Cuboid.ByCorners(Autodesk.DesignScript.Geometry.Point,Autodesk.DesignScript.Geometry.Point)","Create an Cuboid spanning from low Point to high Point."
"Cuboid.Length","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Cuboid.Length","Returns length distance. Note: This return the input dimensions of the Cuboid, NOT the actual world space dimensions. In other words, if you create a Cuboid width (X-axis) length 10, and transform it to a CoordinateSystem with 2 times scaling in X, the width will still be 10. ASM does not allow you to extract the Vertices of a body in any predictable order, so itimpossible to determine the dimensions after a transform."
"Cuboid.Width","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Cuboid.Width","Returns width distance. Note: This return the input dimensions of the Cuboid, NOT the actual world space dimensions. In other words, if you create a Cuboid width (X-axis) length 10, and transform it to a CoordinateSystem with 2 times scaling in X, the width will still be 10. ASM does not allow you to extract the Vertices of a body in any predictable order, so itimpossible to determine the dimensions after a transform."
"Cuboid.Height","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Cuboid.Height","Returns height distance. Note: This return the input dimensions of the Cuboid, NOT the actual world space dimensions. In other words, if you create a Cuboid width (X-axis) length 10, and transform it to a CoordinateSystem with 2 times scaling in X, the width will still be 10. ASM does not allow you to extract the Vertices of a body in any predictable order, so itimpossible to determine the dimensions after a transform."
"Curve.ToString","M:Autodesk","","M:Autodesk.DesignScript.Geometry.Curve.ToString","Get a string representation of the Curve"
"Curve.ByParameterLineOnSurface","M:Autodesk","Autodesk.DesignScript.Geometry.Surface,Autodesk.DesignScript.Geometry.UV,Autodesk.DesignScript.Geometry.UV","M:Autodesk.DesignScript.Geometry.Curve.ByParameterLineOnSurface(Autodesk.DesignScript.Geometry.Surface,Autodesk.DesignScript.Geometry.UV,Autodesk.DesignScript.Geometry.UV)","Create a curve by line of surface in uv space"
"Curve.ByBlendBetweenCurves","M:Autodesk","Autodesk.DesignScript.Geometry.Curve,Autodesk.DesignScript.Geometry.Curve,System.Boolean,System.Boolean,System.Boolean","M:Autodesk.DesignScript.Geometry.Curve.ByBlendBetweenCurves(Autodesk.DesignScript.Geometry.Curve,Autodesk.DesignScript.Geometry.Curve,System.Boolean,System.Boolean,System.Boolean)","Create a curve that blends between two curves"
"Curve.ByIsoCurveOnSurface","M:Autodesk","Autodesk.DesignScript.Geometry.Surface,System.Int32,System.Double","M:Autodesk.DesignScript.Geometry.Curve.ByIsoCurveOnSurface(Autodesk.DesignScript.Geometry.Surface,System.Int32,System.Double)","Create a curve by isoline of surface"
"Curve.Length","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Curve.Length","The total arc length of the curve"
"Curve.IsPlanar","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Curve.IsPlanar","Determine whether a Curve is planar or not"
"Curve.IsClosed","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Curve.IsClosed","Determine if the Curve is closed or not"
"Curve.StartPoint","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Curve.StartPoint","Get the start Point along the Curve"
"Curve.EndPoint","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Curve.EndPoint","Get the end Point along the Curve"
"Curve.Normal","P:Autodesk","","P:Autodesk.DesignScript.Geometry.Curve.Normal","The normal to the plane where the curve is contained.Onlyvalid for planar curves."
"Curve.PointAtParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.PointAtParameter(System.Double)","Get a Point on the Curve at a specified parameter between StartParameter() and EndParameter()"
"Curve.TangentAtParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.TangentAtParameter(System.Double)","Get a Vector tangent to the curve at a specified parameter between StartParameter() and EndParameter()"
"Curve.NormalAtParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.NormalAtParameter(System.Double)","Get a Vector perpendicular to the curve at a specified parameter between StartParameter() and EndParameter()"
"Curve.CoordinateSystemAtParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.CoordinateSystemAtParameter(System.Double)","Get a CoordinateSystem with origin at the point at the given parameter. The XAxis is aligned with the curve normal,the YAxis is aligned with the curve tangent at this point, and the ZAxis is aligned with the up-vector or binormal at this point"
"Curve.HorizontalFrameAtParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.HorizontalFrameAtParameter(System.Double)","Get a CoordinateSystem with origin at the point at the given parameter"
"Curve.PlaneAtParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.PlaneAtParameter(System.Double)","Returns a Plane whose normal aligns with the tangent of the Curve. Parameters are adjusted such that 0 is always the start Point and 1 is always the end Point."
"Curve.PointAtSegmentLength","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.PointAtSegmentLength(System.Double)","Get a Point at a particular arc length along the curve"
"Curve.PointAtDistance","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.PointAtDistance(System.Double)","Get a Point at a particular arc length along the curve"
"Curve.PointsAtEqualSegmentLength","M:Autodesk","System.Int32","M:Autodesk.DesignScript.Geometry.Curve.PointsAtEqualSegmentLength(System.Int32)","Returns points spaced equally along the curve lengthbased on the input number of divisions"
"Curve.PointsAtEqualChordLength","M:Autodesk","System.Int32","M:Autodesk.DesignScript.Geometry.Curve.PointsAtEqualChordLength(System.Int32)","Returns points spaced along curve at equal chord lengthbased on the input number of divisions"
"Curve.PointAtChordLength","M:Autodesk","System.Double,System.Double,System.Boolean","M:Autodesk.DesignScript.Geometry.Curve.PointAtChordLength(System.Double,System.Double,System.Boolean)","Get the point at a particular chord length of the curve from given parameter location."
"Curve.PointsAtSegmentLengthFromPoint","M:Autodesk","Autodesk.DesignScript.Geometry.Point,System.Double","M:Autodesk.DesignScript.Geometry.Curve.PointsAtSegmentLengthFromPoint(Autodesk.DesignScript.Geometry.Point,System.Double)","Returns points spaced equally along the curve at given segment length and starting from the given point"
"Curve.PointsAtChordLengthFromPoint","M:Autodesk","Autodesk.DesignScript.Geometry.Point,System.Double","M:Autodesk.DesignScript.Geometry.Curve.PointsAtChordLengthFromPoint(Autodesk.DesignScript.Geometry.Point,System.Double)","Returns points spaced on the curve at given chord length starting from the given point"
"Curve.CoordinateSystemAtSegmentLength","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.CoordinateSystemAtSegmentLength(System.Double)","Returns a CoordinateSystem at specified distance from Curve start Point. Y Axis lies tangent to the Curve, X Axis is the curvature."
"Curve.CoordinateSystemAtDistance","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.CoordinateSystemAtDistance(System.Double)","Returns a CoordinateSystem at specified distance from Curve start Point. Y Axis lies tangent to the Curve, X Axis is the curvature."
"Curve.PlaneAtSegmentLength","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.PlaneAtSegmentLength(System.Double)","Returns a Plane at the specified distance along the Curve from thestart Point. The normal of the Plane aligns with the tangent of theCurve."
"Curve.PlaneAtDistance","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.PlaneAtDistance(System.Double)","Returns a Plane at the specified distance along the Curve from thestart Point. The normal of the Plane aligns with the tangent of theCurve."
"Curve.SegmentLengthAtParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.SegmentLengthAtParameter(System.Double)","Get the arc length along the Curve at the particular parameter."
"Curve.DistanceAtParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.DistanceAtParameter(System.Double)","Get the arc length along the Curve at the particular parameter."
"Curve.ParameterAtSegmentLength","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.ParameterAtSegmentLength(System.Double)","Get the parameter at a particular arc length along the curve."
"Curve.ParameterAtDistance","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.ParameterAtDistance(System.Double)","Get the parameter at a particular arc length along the curve."
"Curve.ParameterAtChordLength","M:Autodesk","System.Double,System.Double,System.Boolean","M:Autodesk.DesignScript.Geometry.Curve.ParameterAtChordLength(System.Double,System.Double,System.Boolean)","Get the parameter at a particular chord length along the curve from given location."
"Curve.StartParameter","M:Autodesk","","M:Autodesk.DesignScript.Geometry.Curve.StartParameter","Get the start of the domain in which the curve can be evaluated"
"Curve.EndParameter","M:Autodesk","","M:Autodesk.DesignScript.Geometry.Curve.EndParameter","Get the end of the domain in which the curve can be evaluated"
"Curve.SegmentLengthBetweenParameters","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Curve.SegmentLengthBetweenParameters(System.Double,System.Double)","Get the arc length between two parameter points on the curve"
"Curve.LengthBetweenParameters","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Curve.LengthBetweenParameters(System.Double,System.Double)","Get the arc length between two parameter points on the curve"
"Curve.ParameterAtPoint","M:Autodesk","Autodesk.DesignScript.Geometry.Point","M:Autodesk.DesignScript.Geometry.Curve.ParameterAtPoint(Autodesk.DesignScript.Geometry.Point)","Get the parameter at a particular point along the Curve"
"Curve.Reverse","M:Autodesk","","M:Autodesk.DesignScript.Geometry.Curve.Reverse","Reverse the direction of the curve"
"Curve.Offset","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.Offset(System.Double)","Offset a Curve by a specified amount. Curve must be planar, and, if a BSplineCurve/NurbsCurve, must have degree > 1."
"Curve.PullOntoPlane","M:Autodesk","Autodesk.DesignScript.Geometry.Plane","M:Autodesk.DesignScript.Geometry.Curve.PullOntoPlane(Autodesk.DesignScript.Geometry.Plane)","Create a curve by pulling onto plane"
"Curve.PullOntoSurface","M:Autodesk","Autodesk.DesignScript.Geometry.Surface","M:Autodesk.DesignScript.Geometry.Curve.PullOntoSurface(Autodesk.DesignScript.Geometry.Surface)","Pull this Curve onto the input Surface, in the direction of the Surface normals."
"Curve.DivideEqually","M:Autodesk","System.Int32","M:Autodesk.DesignScript.Geometry.Curve.DivideEqually(System.Int32)","Divides curve into given number of equal length curves"
"Curve.DivideByDistance","M:Autodesk","System.Int32","M:Autodesk.DesignScript.Geometry.Curve.DivideByDistance(System.Int32)","Divides curve into given number of curves with equal distances between start and end of each curve (equal chords)."
"Curve.DivideByLengthFromParameter","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Curve.DivideByLengthFromParameter(System.Double,System.Double)","Divides curve into curves of given length measured from the given parameter location"
"Curve.DivideByDistanceFromParameter","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Curve.DivideByDistanceFromParameter(System.Double,System.Double)","Divides curve into curves of given chord length measured from given parameter location"
"Curve.TrimByStartParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.TrimByStartParameter(System.Double)","Removes the start of the Curve at the specified parameter"
"Curve.ParameterTrimStart","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.ParameterTrimStart(System.Double)","Removes the start of the Curve at the specified parameter"
"Curve.TrimByEndParameter","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.TrimByEndParameter(System.Double)","Removes the end of the Curve at the specified parameter"
"Curve.ParameterTrimEnd","M:Autodesk","System.Double","M:Autodesk.DesignScript.Geometry.Curve.ParameterTrimEnd(System.Double)","Removes the end of the Curve at the specified parameter"
"Curve.TrimByParameter","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Curve.TrimByParameter(System.Double,System.Double)","Removes the beginning and end of the Curve at the specified parameters."
"Curve.ParameterTrim","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Curve.ParameterTrim(System.Double,System.Double)","Removes the beginning and end of the Curve at the specified parameters."
"Curve.TrimInteriorByParameter","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Curve.TrimInteriorByParameter(System.Double,System.Double)","Removes the interior portion of a Curve at the specified parameters"
"Curve.ParameterTrimInterior","M:Autodesk","System.Double,System.Double","M:Autodesk.DesignScript.Geometry.Curve.ParameterTrimInterior(System.Double,System.Double)","Removes the interior portion of a Curve at the specified parameters"
"Curve.TrimSegmentsByParameter","M:Autodesk","System.Double[]","M:Autodesk.DesignScript.Geometry.Curve.TrimSegmentsByParameter(System.Double[])","Removes several segments of the curve, discarding the 1st, 3rd, 5th ... segments"
"Curve.ParameterTrimSegments","M:Autodesk","System.Double[]","M:Autodesk.DesignScript.Geometry.Curve.ParameterTrimSegments(System.Double[])","Removes several segments of the curve, discarding the 1st, 3rd, 5th ... segments"
